N,P,K,temperature,humidity,ph,rainfall,label
79,39,23,21.37,66.06,5.8,60.93,maize
66,43,23,18.29,69.7,6.86,95.08,maize
65,55,25,22.01,55.32,6.05,69.18,maize
74,36,16,23.05,61.09,6.57,104.84,maize
75,39,16,25.35,63.82,6.05,72.76,maize
66,45,25,26.19,68.99,5.6,85.61,maize
61,42,17,25.69,59.26,6.84,105.58,maize
87,58,16,24.4,65.86,6.53,79.34,maize
88,50,17,23.34,61.14,5.6,65.57,maize
81,36,17,24.01,62.56,5.83,102.43,maize
95,35,19,22.04,65.34,6.7,89.9,maize
84,42,19,24.79,59.93,6.93,69.64,maize
100,43,15,26.29,55.25,6.8,62.99,maize
64,39,24,24.42,63.53,6.47,91.43,maize
98,54,15,21.95,65.91,6.64,78.99,maize
84,53,24,18.64,69.7,6.74,107.26,maize
89,43,19,19.7,63.97,6.8,62.33,maize
85,41,15,26.59,57.23,6.39,91.9,maize
81,59,16,20.49,69.2,6.62,108.33,maize
65,51,20,20.02,64.75,5.59,87.05,maize
87,37,15,26.8,62.03,6.39,87.54,maize
78,59,16,18.13,61.77,5.96,77.11,maize
91,49,15,19.13,63.97,6.13,73.75,maize
79,37,17,22.22,69.43,6.08,97.85,maize
99,48,16,18.79,66.76,5.86,80.63,maize
83,46,24,26.11,64.81,6.47,65.77,maize
92,48,19,23.4,59.48,5.86,69.78,maize
83,57,17,25.24,60.12,6.97,67.29,maize
86,60,21,26.16,58.63,6.51,93.75,maize
73,36,21,23.64,55.65,6.99,109.06,maize
88,43,25,22.83,67.86,6.27,100.71,maize
72,59,21,23.65,55.88,5.74,87.19,maize
86,35,20,20.64,59.23,6.23,101.67,maize
90,37,18,21.16,67.82,6.74,97.01,maize
100,45,16,26.05,57.88,6.17,96.78,maize
81,56,25,21.84,65.43,6.8,80.65,maize
68,43,22,18.29,69.8,5.52,86.53,maize
64,57,24,25.46,65.39,6.27,83.76,maize
66,60,20,26.69,61.68,5.57,70.31,maize
60,40,22,20.0,68.26,6.7,102.49,maize
96,49,20,26.79,56.8,5.54,65.24,maize
67,44,22,21.73,66.34,6.51,71.23,maize
86,43,23,18.06,67.87,5.74,74.4,maize
83,55,23,23.87,68.14,6.28,109.73,maize
61,41,24,22.22,59.1,5.65,63.33,maize
66,60,21,22.63,55.19,6.91,107.0,maize
77,50,24,23.22,64.13,5.77,87.95,maize
83,35,18,22.79,56.82,5.55,62.71,maize
61,44,20,23.25,67.53,5.68,72.13,maize
75,60,23,25.56,68.81,5.57,82.36,maize
63,60,21,19.66,61.88,6.15,65.79,maize
91,47,17,26.25,60.76,6.09,66.73,maize
68,46,23,26.79,61.12,6.54,65.58,maize
86,49,20,26.06,62.4,6.52,69.68,maize
74,50,24,22.18,66.25,5.52,64.33,maize
87,48,16,24.75,61.85,5.57,61.92,maize
65,38,18,24.47,60.41,6.71,74.73,maize
99,58,19,22.16,67.63,5.57,66.7,maize
61,43,19,25.04,60.37,6.45,63.88,maize
87,51,15,22.73,56.92,6.87,106.51,maize
99,46,18,20.19,69.2,6.61,109.22,maize
82,42,21,26.2,65.69,6.15,62.36,maize
84,38,16,19.79,60.44,6.73,90.76,maize
77,59,24,21.75,59.79,6.28,79.62,maize
93,55,22,24.11,55.73,6.84,96.27,maize
87,48,20,18.24,66.25,6.83,86.89,maize
65,40,21,23.73,64.84,6.42,106.08,maize
82,48,18,21.65,69.19,6.07,97.81,maize
84,40,25,23.48,66.01,5.79,66.84,maize
80,51,17,19.82,64.3,5.94,83.2,maize
70,58,16,18.81,60.01,5.66,80.44,maize
92,50,19,19.18,58.9,5.54,107.61,maize
87,54,15,18.9,64.47,6.3,63.89,maize
48,79,77,19.34,15.15,6.16,75.08,chickpea
40,66,80,18.31,17.76,5.67,68.91,chickpea
23,55,76,19.43,15.04,5.81,93.06,chickpea
43,65,76,18.51,18.22,6.37,79.22,chickpea
48,77,79,18.02,17.57,5.87,93.39,chickpea
26,77,79,17.7,16.35,8.14,71.67,chickpea
39,78,82,17.47,19.92,7.54,94.79,chickpea
51,77,84,17.38,15.02,8.18,92.86,chickpea
20,55,75,18.5,18.74,8.21,91.43,chickpea
59,71,82,18.81,17.31,7.01,68.1,chickpea
37,65,75,21.0,18.44,7.88,66.19,chickpea
46,55,76,18.12,16.65,8.19,88.8,chickpea
51,64,81,17.44,18.69,7.66,73.1,chickpea
53,60,75,18.46,18.86,8.07,94.59,chickpea
50,73,76,20.53,17.5,8.42,67.42,chickpea
37,66,79,17.5,18.07,8.0,78.49,chickpea
37,67,83,17.88,18.54,7.95,67.11,chickpea
54,73,76,19.3,17.14,7.4,86.52,chickpea
27,78,81,19.85,19.49,6.5,73.31,chickpea
52,69,85,17.27,17.85,6.08,85.65,chickpea
30,58,75,17.09,18.73,8.19,88.32,chickpea
57,73,85,20.1,15.67,7.74,78.15,chickpea
41,62,85,20.31,19.53,6.94,86.47,chickpea
49,61,77,18.26,15.76,5.59,89.82,chickpea
45,67,76,18.26,18.95,7.39,74.67,chickpea
26,60,82,17.09,15.89,7.82,79.67,chickpea
39,70,83,18.6,17.89,6.9,87.23,chickpea
47,61,84,20.8,19.97,7.8,76.84,chickpea
50,71,77,20.92,16.78,5.82,82.9,chickpea
56,70,85,20.64,17.86,6.78,70.44,chickpea
28,79,83,17.47,19.83,7.45,74.43,chickpea
39,72,82,20.73,19.85,7.02,66.21,chickpea
22,78,79,19.03,18.01,5.7,91.66,chickpea
56,62,85,19.0,18.2,6.11,68.54,chickpea
60,65,78,17.84,16.92,5.67,94.82,chickpea
30,75,75,18.59,19.17,6.55,69.34,chickpea
60,71,77,17.3,17.85,8.48,65.49,chickpea
43,77,85,17.08,15.16,5.54,84.19,chickpea
39,62,84,18.35,16.37,6.75,88.06,chickpea
42,72,75,20.77,15.33,6.23,88.33,chickpea
38,76,81,19.84,19.86,6.6,83.78,chickpea
25,66,82,17.36,18.35,7.48,88.59,chickpea
25,62,75,17.29,17.97,7.04,82.79,chickpea
49,79,75,17.99,16.63,5.75,82.61,chickpea
49,63,77,17.53,17.28,5.61,74.73,chickpea
25,64,84,18.81,15.32,7.16,77.98,chickpea
36,71,85,17.64,15.15,5.69,92.39,chickpea
34,69,77,20.1,17.17,7.19,91.64,chickpea
35,60,75,17.48,15.44,7.93,77.86,chickpea
20,61,78,19.63,18.04,6.98,79.54,chickpea
58,80,75,18.94,15.9,7.52,81.88,chickpea
23,64,80,17.17,18.07,6.25,65.28,chickpea
48,64,84,19.29,18.79,7.79,76.47,chickpea
39,76,76,18.33,17.43,7.79,90.16,chickpea
33,62,85,18.26,16.01,7.07,91.24,chickpea
29,65,80,18.78,18.41,7.23,72.38,chickpea
44,76,80,19.5,18.34,6.65,94.82,chickpea
44,55,78,20.39,18.22,8.12,80.91,chickpea
41,58,81,20.57,16.04,7.84,88.17,chickpea
40,61,78,20.4,18.81,7.16,84.87,chickpea
26,67,83,19.67,19.63,7.24,94.8,chickpea
55,64,81,18.27,19.31,6.09,81.87,chickpea
22,75,84,18.18,15.56,6.32,82.23,chickpea
55,78,81,20.54,19.04,7.86,67.46,chickpea
60,59,79,19.28,17.43,5.79,81.16,chickpea
26,69,83,18.33,19.13,6.69,77.33,chickpea
38,63,83,18.92,19.0,7.81,70.69,chickpea
45,57,82,20.05,15.29,7.21,67.88,chickpea
49,72,76,19.15,19.02,7.79,93.23,chickpea
51,73,76,19.9,17.44,7.7,83.96,chickpea
60,55,75,18.03,18.71,5.83,66.75,chickpea
30,76,84,20.46,18.52,8.24,79.78,chickpea
38,78,77,17.39,19.1,7.27,82.93,chickpea
22,65,78,20.92,16.06,8.18,89.13,chickpea
24,70,75,20.24,18.03,8.3,78.68,chickpea
36,59,80,18.63,19.84,7.07,71.24,chickpea
36,65,82,17.63,19.97,7.47,90.48,chickpea
59,60,78,18.26,17.99,6.39,69.8,chickpea
36,80,75,20.46,16.72,6.87,65.53,chickpea
36,56,81,17.87,19.65,8.26,79.77,chickpea
38,76,80,20.1,17.1,8.4,91.55,chickpea
38,76,79,19.51,18.27,7.03,90.28,chickpea
43,61,82,20.32,18.24,7.64,72.23,chickpea
55,63,78,19.76,15.31,7.41,74.62,chickpea
38,64,85,19.15,16.92,6.2,74.91,chickpea
32,62,77,17.06,15.07,7.52,76.35,chickpea
31,72,77,20.69,17.66,7.95,69.81,chickpea
28,63,76,20.4,18.76,8.02,70.18,chickpea
52,79,84,19.08,19.08,5.67,67.95,chickpea
38,70,79,19.22,17.35,5.71,92.34,chickpea
24,55,76,18.02,18.86,5.98,76.73,chickpea
51,80,81,17.48,18.44,6.81,67.14,chickpea
44,79,75,20.38,15.46,6.11,68.84,chickpea
47,64,82,19.07,17.01,6.81,80.11,chickpea
48,70,77,20.27,16.98,5.73,68.05,chickpea
33,71,78,18.02,18.44,6.26,89.52,chickpea
30,78,78,17.2,15.5,6.14,90.72,chickpea
55,59,85,18.22,17.43,6.57,79.03,chickpea
30,59,83,17.48,19.16,7.74,74.18,chickpea
55,63,81,17.07,17.02,5.69,87.33,chickpea
16,60,22,22.77,21.0,5.76,113.87,kidneybeans
10,60,21,21.23,23.35,5.71,127.57,kidneybeans
15,69,16,16.21,24.86,5.83,62.97,kidneybeans
36,62,22,16.47,22.39,5.99,69.72,kidneybeans
28,58,18,21.81,20.43,5.64,140.69,kidneybeans
14,73,25,18.51,24.81,5.67,62.41,kidneybeans
18,68,19,16.07,24.84,5.8,66.25,kidneybeans
25,76,20,15.03,21.68,5.75,79.24,kidneybeans
36,78,23,15.37,21.44,5.75,142.19,kidneybeans
22,75,17,18.91,24.65,5.8,80.73,kidneybeans
22,76,16,22.38,21.4,5.56,123.13,kidneybeans
37,68,16,23.73,22.59,5.58,112.59,kidneybeans
24,58,21,23.8,24.86,5.82,135.63,kidneybeans
35,64,16,16.99,24.78,5.55,113.69,kidneybeans
26,64,21,16.91,22.79,5.55,61.53,kidneybeans
22,68,22,15.21,22.05,5.72,76.39,kidneybeans
18,75,25,23.22,20.07,5.55,103.48,kidneybeans
10,73,21,23.13,23.73,5.71,99.1,kidneybeans
21,75,15,21.95,20.41,5.92,66.42,kidneybeans
24,77,17,16.5,20.46,5.68,112.78,kidneybeans
36,69,21,19.32,24.87,5.87,115.16,kidneybeans
27,64,19,21.87,21.29,5.89,108.08,kidneybeans
25,76,25,19.02,22.61,5.77,112.5,kidneybeans
33,65,19,17.76,22.82,5.69,143.16,kidneybeans
29,71,25,21.81,24.01,5.88,112.19,kidneybeans
33,80,16,21.72,24.6,5.72,136.37,kidneybeans
34,56,25,20.45,23.42,5.84,93.81,kidneybeans
34,63,22,15.97,23.74,5.6,106.94,kidneybeans
23,74,21,16.05,23.64,5.7,65.64,kidneybeans
17,79,23,17.51,20.64,5.65,102.78,kidneybeans
27,63,15,18.18,22.06,5.69,88.8,kidneybeans
22,65,24,23.31,21.81,5.7,72.72,kidneybeans
20,56,15,18.94,22.87,5.91,78.17,kidneybeans
35,70,23,17.07,21.53,5.81,98.09,kidneybeans
15,76,17,20.78,22.9,5.78,73.09,kidneybeans
31,59,21,21.69,23.62,5.96,68.99,kidneybeans
14,71,25,23.79,24.88,5.61,89.37,kidneybeans
17,76,19,17.92,22.4,6.0,116.59,kidneybeans
18,72,25,24.77,20.06,5.76,64.01,kidneybeans
39,55,25,20.15,22.26,5.94,117.35,kidneybeans
21,77,20,15.94,20.34,5.6,108.46,kidneybeans
38,57,18,20.58,20.4,5.7,80.2,kidneybeans
24,60,17,24.05,24.88,5.64,144.14,kidneybeans
25,79,24,23.57,24.17,5.55,87.55,kidneybeans
39,61,15,22.36,21.71,5.65,132.91,kidneybeans
16,71,19,20.87,24.0,5.5,64.24,kidneybeans
29,60,24,20.52,22.84,5.94,143.39,kidneybeans
20,58,18,22.0,20.92,5.83,149.69,kidneybeans
30,60,22,22.04,23.28,5.57,71.52,kidneybeans
38,66,20,20.69,21.74,5.83,107.74,kidneybeans
36,70,20,17.44,24.28,5.64,146.01,kidneybeans
12,73,18,23.34,22.17,5.68,120.12,kidneybeans
38,57,25,19.0,20.7,5.88,125.39,kidneybeans
16,71,20,19.93,20.12,5.73,126.61,kidneybeans
15,59,16,16.46,21.25,5.59,93.99,kidneybeans
16,62,23,19.15,23.57,5.89,102.54,kidneybeans
23,63,24,18.09,24.54,5.98,125.84,kidneybeans
12,64,22,24.73,23.15,5.6,140.64,kidneybeans
39,66,20,15.27,22.61,5.89,62.63,kidneybeans
14,55,20,18.18,21.38,5.69,126.89,kidneybeans
33,61,23,16.68,21.57,5.98,93.17,kidneybeans
37,71,20,16.13,20.09,5.91,123.75,kidneybeans
32,62,21,18.2,21.06,5.52,96.37,kidneybeans
30,67,24,22.01,23.03,5.51,110.03,kidneybeans
28,60,16,19.93,20.01,5.64,128.72,kidneybeans
16,58,18,24.02,24.9,5.76,100.51,kidneybeans
17,70,21,18.66,23.69,5.87,70.74,kidneybeans
34,80,17,17.38,20.48,5.95,64.84,kidneybeans
26,77,23,23.36,21.25,5.54,89.52,kidneybeans
33,69,16,17.66,23.3,5.86,92.14,kidneybeans
35,60,17,24.45,22.39,5.96,129.82,kidneybeans
38,77,17,21.78,24.86,5.79,70.82,kidneybeans
28,55,22,25.0,20.88,5.51,95.45,kidneybeans
32,73,19,19.27,24.62,5.78,89.23,kidneybeans
25,72,19,22.55,23.57,5.7,79.78,kidneybeans
21,77,17,23.94,22.47,5.6,97.9,kidneybeans
26,67,17,19.12,20.58,5.7,96.86,kidneybeans
24,77,23,20.77,23.4,5.84,147.56,kidneybeans
29,72,25,18.24,24.15,5.82,111.42,kidneybeans
36,57,17,15.35,23.62,5.55,108.51,kidneybeans
29,57,20,18.59,23.83,5.96,97.64,kidneybeans
13,69,17,21.95,22.49,5.99,136.15,kidneybeans
26,60,24,18.01,22.03,5.56,78.25,kidneybeans
26,63,21,19.88,23.66,5.6,101.32,kidneybeans
30,80,24,20.5,20.66,5.98,119.55,kidneybeans
39,65,23,24.98,21.25,5.95,97.01,kidneybeans
27,58,16,19.81,21.75,5.56,98.96,kidneybeans
22,73,25,24.59,21.93,5.93,71.41,kidneybeans
34,64,21,16.28,24.69,5.61,113.22,kidneybeans
18,75,25,20.87,23.45,5.96,141.82,kidneybeans
24,62,15,15.94,23.04,5.61,104.51,kidneybeans
22,80,20,22.92,24.25,5.61,120.82,kidneybeans
39,63,22,22.28,20.08,5.71,135.39,kidneybeans
22,67,15,19.48,24.86,5.95,149.74,kidneybeans
23,72,22,20.99,20.11,5.72,136.94,kidneybeans
25,75,16,18.04,21.7,5.55,85.8,kidneybeans
23,63,22,19.59,20.68,5.99,78.99,kidneybeans
21,65,16,24.98,22.74,5.99,141.92,kidneybeans
29,61,17,15.24,22.19,5.62,97.86,kidneybeans
36,57,19,17.18,23.68,5.96,127.11,kidneybeans
20,57,17,27.71,59.14,7.12,129.97,pigeonpeas
16,44,20,25.25,55.49,6.52,101.43,pigeonpeas
18,35,16,24.93,52.06,6.71,184.99,pigeonpeas
16,40,18,19.1,67.06,6.09,126.02,pigeonpeas
27,38,17,18.09,64.1,6.63,181.24,pigeonpeas
17,41,20,28.98,61.83,6.48,128.61,pigeonpeas
31,57,15,32.79,49.89,7.27,189.74,pigeonpeas
30,60,19,34.81,50.02,4.52,112.5,pigeonpeas
23,60,25,27.81,64.75,4.6,99.13,pigeonpeas
22,38,23,34.44,55.62,5.87,199.94,pigeonpeas
23,35,15,20.77,52.46,7.96,91.1,pigeonpeas
26,48,19,29.88,55.1,5.75,149.4,pigeonpeas
29,54,21,26.75,51.08,6.84,178.07,pigeonpeas
31,38,19,36.22,69.85,7.89,165.14,pigeonpeas
36,37,21,22.77,59.53,4.91,130.45,pigeonpeas
22,55,21,25.04,47.31,7.17,148.48,pigeonpeas
39,47,24,28.14,69.56,5.02,183.21,pigeonpeas
25,40,24,33.36,51.8,6.47,104.24,pigeonpeas
29,50,16,35.18,47.89,4.83,149.14,pigeonpeas
36,51,15,24.26,67.81,6.49,188.28,pigeonpeas
10,54,19,35.23,53.95,4.81,145.68,pigeonpeas
15,58,17,29.14,56.99,6.95,181.76,pigeonpeas
30,58,20,31.53,62.84,5.03,176.25,pigeonpeas
30,50,24,31.62,53.85,5.34,135.02,pigeonpeas
27,51,24,31.31,68.86,5.66,180.33,pigeonpeas
32,45,24,27.36,58.14,5.42,166.68,pigeonpeas
34,45,20,18.28,47.59,4.67,102.11,pigeonpeas
30,37,21,33.32,45.37,6.28,175.73,pigeonpeas
40,44,21,34.63,59.27,5.82,114.17,pigeonpeas
31,49,23,22.04,61.05,7.31,156.94,pigeonpeas
24,50,18,18.08,53.11,5.55,183.38,pigeonpeas
22,35,20,27.89,52.18,5.32,170.71,pigeonpeas
36,49,23,28.28,47.1,6.61,157.46,pigeonpeas
13,37,24,32.16,60.77,6.3,185.23,pigeonpeas
17,37,23,30.29,51.06,5.74,189.18,pigeonpeas
12,38,17,21.42,48.99,6.65,147.83,pigeonpeas
34,58,23,29.2,53.79,7.82,170.45,pigeonpeas
20,60,22,24.3,61.75,7.41,151.84,pigeonpeas
13,41,21,19.05,65.18,6.72,129.3,pigeonpeas
19,47,15,23.82,58.17,7.03,191.38,pigeonpeas
19,44,21,33.65,59.12,6.01,110.75,pigeonpeas
37,54,15,26.97,66.96,5.93,166.65,pigeonpeas
37,55,22,25.09,49.52,4.64,146.76,pigeonpeas
26,54,25,32.52,51.82,5.61,173.37,pigeonpeas
10,56,24,29.89,47.48,5.26,106.3,pigeonpeas
33,55,24,27.68,60.22,6.76,132.89,pigeonpeas
39,42,22,34.72,55.77,7.83,197.8,pigeonpeas
20,56,21,30.09,60.37,6.25,195.63,pigeonpeas
40,38,15,30.3,53.91,5.43,112.94,pigeonpeas
30,47,19,36.11,49.27,6.65,121.61,pigeonpeas
35,46,25,36.06,60.28,6.87,178.88,pigeonpeas
31,43,25,30.37,51.6,5.6,181.63,pigeonpeas
10,48,16,36.24,65.28,4.54,150.59,pigeonpeas
36,47,21,27.39,49.21,7.34,143.71,pigeonpeas
34,46,22,27.98,67.44,6.73,135.56,pigeonpeas
31,44,15,18.58,46.11,4.68,175.34,pigeonpeas
22,41,20,31.53,66.8,7.59,112.56,pigeonpeas
15,49,22,20.36,45.98,7.93,105.2,pigeonpeas
12,50,22,18.25,57.56,5.3,163.26,pigeonpeas
10,46,15,27.43,61.08,7.8,99.71,pigeonpeas
23,47,23,27.08,69.13,5.35,138.21,pigeonpeas
18,48,19,24.05,68.41,5.85,195.8,pigeonpeas
10,49,25,22.2,69.87,6.57,175.17,pigeonpeas
27,57,24,22.82,65.68,6.03,127.53,pigeonpeas
38,53,23,27.1,68.39,5.72,191.98,pigeonpeas
17,55,23,29.64,50.89,6.19,108.32,pigeonpeas
13,51,22,26.38,69.8,7.04,189.71,pigeonpeas
34,35,16,25.02,57.91,5.48,94.58,pigeonpeas
24,43,24,33.2,57.74,7.15,169.97,pigeonpeas
24,53,19,19.3,66.05,7.05,118.01,pigeonpeas
40,60,20,25.05,67.51,6.36,165.68,pigeonpeas
33,40,20,32.08,49.26,5.89,117.23,pigeonpeas
11,59,19,29.14,45.18,5.64,175.26,pigeonpeas
17,59,21,28.72,65.71,6.92,94.46,pigeonpeas
32,39,25,35.95,64.54,7.38,169.91,pigeonpeas
23,56,21,29.83,67.68,7.99,113.86,pigeonpeas
21,56,18,25.64,47.07,5.2,102.64,pigeonpeas
33,48,17,35.29,50.18,6.61,185.86,pigeonpeas
20,36,18,24.13,56.73,7.64,117.31,pigeonpeas
35,50,23,27.64,67.59,6.29,123.66,pigeonpeas
22,49,17,22.2,69.39,6.02,163.39,pigeonpeas
10,52,18,20.46,60.19,6.24,188.41,pigeonpeas
33,59,24,33.82,54.96,5.01,126.79,pigeonpeas
20,49,24,36.72,56.51,7.78,96.0,pigeonpeas
34,52,20,36.48,54.14,7.62,90.28,pigeonpeas
25,39,25,29.9,53.85,7.35,124.73,pigeonpeas
25,50,15,26.29,62.16,6.87,174.89,pigeonpeas
35,47,24,24.9,65.4,4.84,95.6,pigeonpeas
20,55,20,18.67,65.77,7.49,109.63,pigeonpeas
40,50,22,30.6,69.75,4.9,178.92,pigeonpeas
13,48,22,26.08,52.21,5.94,121.18,pigeonpeas
34,56,20,22.64,51.07,7.94,147.5,pigeonpeas
34,47,24,34.06,66.92,5.45,184.87,pigeonpeas
17,56,22,21.78,58.76,6.45,114.64,pigeonpeas
35,38,23,19.81,59.81,7.45,142.63,pigeonpeas
19,56,25,33.51,45.31,4.72,136.74,pigeonpeas
24,49,22,31.15,64.76,7.77,95.23,pigeonpeas
29,44,24,21.34,55.97,6.77,168.64,pigeonpeas
27,39,16,30.45,45.63,6.21,136.93,pigeonpeas
26,46,22,20.88,45.76,5.73,93.16,pigeonpeas
36,46,21,24.01,55.72,8.91,41.51,mothbeans
23,44,15,28.13,64.05,8.99,62.43,mothbeans
16,39,23,27.1,48.11,9.77,57.64,mothbeans
34,36,17,26.25,64.36,4.93,46.64,mothbeans
17,45,18,26.05,53.14,5.41,36.55,mothbeans
23,35,16,31.55,48.78,6.29,59.16,mothbeans
17,37,21,24.53,42.06,7.75,47.93,mothbeans
25,53,24,30.81,45.59,8.96,32.93,mothbeans
12,52,21,29.95,63.51,6.35,45.23,mothbeans
40,53,17,31.64,49.36,5.53,52.95,mothbeans
15,47,15,24.82,50.58,6.21,32.76,mothbeans
11,60,16,25.09,56.92,6.61,30.19,mothbeans
